,DEPT,GR_ARC,P28H_UNC,RHOB,TNPH,kmeans
8545,1527.35,71.69,1.49,1.99,0.33,3
8546,1527.51,73.78,1.75,2.18,0.36,1
8547,1527.66,77.02,1.57,2.37,0.37,1
8548,1527.81,76.34,1.49,2.39,0.34,1
8549,1527.96,78.09,1.4,2.39,0.33,1
8550,1528.11,80.13,1.35,2.38,0.32,1
8551,1528.27,83.54,1.33,2.39,0.32,1
8552,1528.42,83.66,1.36,2.38,0.32,1
8553,1528.57,81.44,1.41,2.39,0.3,1
8554,1528.72,81.15,1.41,2.4,0.3,1
8555,1528.88,78.26,1.48,2.4,0.29,1
8556,1529.03,75.14,1.67,2.38,0.29,1
8557,1529.18,73.78,1.67,2.36,0.28,2
8558,1529.33,74.29,1.48,2.38,0.29,1
8559,1529.49,77.48,1.45,2.38,0.31,1
8560,1529.64,74.99,1.46,2.39,0.33,1
8561,1529.79,75.21,1.43,2.39,0.34,1
8562,1529.94,77.6,1.37,2.39,0.36,1
8563,1530.1,79.86,1.41,2.37,0.37,1
8564,1530.25,80.76,1.39,2.35,0.36,1
8565,1530.4,78.43,1.3,2.35,0.34,1
8566,1530.55,79.96,1.33,2.39,0.34,1
8567,1530.71,76.4,1.46,2.38,0.36,1
8568,1530.86,75.21,1.46,2.41,0.37,1
8569,1531.01,74.65,1.36,2.38,0.37,1
8570,1531.16,76.4,1.36,2.39,0.34,1
8571,1531.32,80.32,1.39,2.37,0.33,1
8572,1531.47,81.05,1.32,2.37,0.31,1
8573,1531.62,87.23,1.34,2.36,0.32,1
8574,1531.77,81.49,1.53,2.36,0.33,1
8575,1531.92,77.53,1.62,2.37,0.34,1
8576,1532.08,69.19,1.7,2.39,0.32,1
8577,1532.23,69.92,1.54,2.38,0.31,1
8578,1532.38,70.87,1.36,2.37,0.3,1
8579,1532.53,73.66,1.38,2.34,0.32,1
8580,1532.69,72.42,1.56,2.36,0.32,1
8581,1532.84,66.51,1.6,2.38,0.33,1
8582,1532.99,61.17,1.54,2.4,0.32,1
8583,1533.14,60.49,1.37,2.39,0.31,1
8584,1533.3,63.74,1.3,2.38,0.31,1
8585,1533.45,68.34,1.3,2.38,0.36,1
8586,1533.6,74.07,1.32,2.39,0.37,1
8587,1533.75,78.26,1.36,2.38,0.38,1
8588,1533.91,80.54,1.32,2.37,0.35,1
8589,1534.06,77.94,1.18,2.38,0.35,1
8590,1534.21,76.86,1.17,2.38,0.35,1
8591,1534.36,75.16,1.24,2.39,0.36,1
8592,1534.52,78.5,1.43,2.37,0.35,1
8593,1534.67,82.46,1.44,2.36,0.36,1
8594,1534.82,84.27,1.38,2.36,0.36,1
8595,1534.97,80.3,1.33,2.37,0.35,1
8596,1535.13,76.05,1.42,2.39,0.34,1
8597,1535.28,72.59,1.58,2.39,0.34,1
8598,1535.43,71.11,1.54,2.4,0.33,1
8599,1535.58,72.3,1.46,2.4,0.33,1
8600,1535.73,71.96,1.45,2.41,0.32,1
8601,1535.89,73.05,1.56,2.41,0.3,1
8602,1536.04,72.95,1.66,2.41,0.3,1
8603,1536.19,76.97,1.68,2.42,0.28,2
8604,1536.34,75.88,1.75,2.42,0.33,1
8605,1536.5,71.55,1.79,2.42,0.31,1
8606,1536.65,66.34,1.8,2.43,0.28,2
8607,1536.8,65.66,1.63,2.42,0.28,2
8608,1536.95,68.17,1.45,2.4,0.27,2
8609,1537.11,71.11,1.46,2.4,0.29,1
8610,1537.26,73.27,1.59,2.42,0.29,1
8611,1537.41,75.71,1.56,2.43,0.31,1
8612,1537.56,76.22,1.46,2.41,0.33,1
8613,1537.72,77.87,1.51,2.41,0.36,1
8614,1537.87,79.01,1.52,2.39,0.36,1
8615,1538.02,80.76,1.43,2.41,0.34,1
8616,1538.17,82.86,1.51,2.4,0.34,1
8617,1538.33,83.25,1.55,2.42,0.33,1
8618,1538.48,83.83,1.56,2.41,0.34,1
8619,1538.63,81.89,1.45,2.41,0.33,1
8620,1538.78,82.51,1.57,2.4,0.32,1
8621,1538.94,81.94,1.56,2.38,0.29,1
8622,1539.09,85.29,1.56,2.4,0.31,1
8623,1539.24,83.64,1.61,2.4,0.31,1
8624,1539.39,83.37,1.58,2.43,0.33,1
8625,1539.54,80.93,1.58,2.41,0.32,1
8626,1539.7,78.55,1.66,2.42,0.33,1
8627,1539.85,77.97,1.66,2.4,0.31,1
8628,1540.0,76.73,1.61,2.4,0.29,1
8629,1540.15,77.46,1.5,2.4,0.29,1
8630,1540.31,78.89,1.59,2.4,0.3,1
8631,1540.46,79.45,1.69,2.41,0.31,1
8632,1540.61,82.17,1.38,2.39,0.31,1
8633,1540.76,84.05,1.3,2.4,0.32,1
8634,1540.92,85.36,1.37,2.4,0.34,1
8635,1541.07,87.42,1.33,2.43,0.35,1
8636,1541.22,85.32,1.31,2.43,0.34,1
8637,1541.37,83.04,1.41,2.44,0.32,1
8638,1541.53,77.41,1.44,2.43,0.32,1
8639,1541.68,74.45,1.38,2.43,0.32,1
8640,1541.83,75.64,1.32,2.44,0.32,1
8641,1541.98,79.04,1.36,2.44,0.35,1
8642,1542.14,81.71,1.39,2.44,0.33,1
8643,1542.29,82.17,1.36,2.44,0.33,1
8644,1542.44,80.08,1.27,2.45,0.32,1
8645,1542.59,79.23,1.24,2.44,0.34,1
8646,1542.75,78.94,1.23,2.45,0.34,1
8647,1542.9,81.03,1.23,2.44,0.34,1
8648,1543.05,80.81,1.29,2.45,0.33,1
8649,1543.2,82.0,1.27,2.44,0.35,1
8650,1543.35,82.07,1.25,2.43,0.36,1
8651,1543.51,84.0,1.3,2.43,0.36,1
8652,1543.66,83.6,1.3,2.43,0.34,1
8653,1543.81,83.09,1.29,2.43,0.32,1
8654,1543.96,82.7,1.29,2.41,0.31,1
8655,1544.12,81.56,1.32,2.41,0.31,1
8656,1544.27,78.96,1.46,2.42,0.3,1
8657,1544.42,76.57,1.55,2.43,0.31,1
8658,1544.57,74.43,1.53,2.43,0.33,1
8659,1544.73,72.95,1.49,2.42,0.33,1
8660,1544.88,72.32,1.47,2.41,0.33,1
8661,1545.03,73.22,1.51,2.39,0.3,1
8662,1545.18,75.09,1.49,2.38,0.32,1
8663,1545.34,75.48,1.43,2.39,0.31,1
8664,1545.49,74.24,1.47,2.41,0.32,1
8665,1545.64,71.06,1.55,2.41,0.31,1
8666,1545.79,68.79,1.52,2.39,0.31,1
8667,1545.95,68.11,1.47,2.39,0.31,1
8668,1546.1,69.37,1.46,2.41,0.31,1
8669,1546.25,68.98,1.48,2.42,0.32,1
8670,1546.4,69.32,1.5,2.43,0.32,1
8671,1546.56,70.05,1.49,2.43,0.32,1
8672,1546.71,70.11,1.47,2.43,0.32,1
8673,1546.86,67.26,1.39,2.44,0.31,1
8674,1547.01,62.38,1.33,2.43,0.33,1
8675,1547.16,60.33,1.3,2.41,0.33,1
8676,1547.32,61.41,1.34,2.4,0.35,1
8677,1547.47,65.78,1.25,2.39,0.33,1
8678,1547.62,71.11,1.19,2.4,0.34,1
8679,1547.77,76.05,1.2,2.41,0.34,1
8680,1547.93,78.94,1.16,2.41,0.35,1
8681,1548.08,77.8,1.18,2.42,0.33,1
8682,1548.23,74.23,1.21,2.42,0.3,1
8683,1548.38,72.74,1.15,2.42,0.31,1
8684,1548.54,74.62,1.08,2.41,0.34,1
8685,1548.69,77.07,1.06,2.4,0.36,1
8686,1548.84,77.63,1.13,2.4,0.37,1
8687,1548.99,76.73,1.18,2.42,0.35,1
8688,1549.15,77.39,1.26,2.42,0.34,1
8689,1549.3,78.87,1.29,2.43,0.34,1
8690,1549.45,79.28,1.25,2.42,0.35,1
8691,1549.6,76.23,1.22,2.44,0.36,1
8692,1549.76,74.65,1.25,2.44,0.35,1
8693,1549.91,77.65,1.31,2.43,0.35,1
8694,1550.06,81.73,1.24,2.43,0.37,1
8695,1550.21,84.34,1.15,2.43,0.37,1
8696,1550.37,82.92,1.13,2.45,0.39,1
8697,1550.52,80.08,1.18,2.43,0.39,1
